nombre,categoria,latitud,longitud
Las Cabañas Agua Dulce,Hotel,-16.0398429,-69.1445431
Hostal Andino,Hotel,-16.1657627,-69.086897
SR ANGEL DIAZ PARI - HOSPEDAJE & COMIDA,Hotel,-15.3641597,-70.3662477
Puma,Mirador,-16.2718986,-69.29009
Homestay Primo Flores,Hotel,-15.72431,-69.7844439
Cerro Carus,Mirador,-15.7208869,-69.7601001
Ecohostel Casa de la Sirena,Hotel,-15.9904747,-69.1936929
Casa de Eustaquio,Hotel,-15.7180403,-69.7962794
Alojamiento San Cristóbal,Hotel,-16.1657193,-69.0867298
Hostal Piedra Andina,Hotel,-16.1725045,-69.0892499
Hostal Kumri,Hotel,-15.9972864,-69.1842789
Casa Benedicto Laquise Quisbe,Hotel,-15.6535361,-69.7186647
Lindsay,Hotel,-15.4758128,-70.1146752
Puerta de Aramu Muru,Mirador,-16.1707193,-69.5410622
Hostal Brisas del Titicaca,Hotel,-16.2130164,-69.4584676
Maya Inn,Hotel,-15.8376323,-70.0201825
Duque Inn,Hotel,-15.8439734,-70.029351
Code de Lemos,Hotel,-15.8414787,-70.0293218
Hostal Intikala,Hotel,-16.166865,-69.0846752
Mirador Vista a Copacabana,Mirador,-16.1615309,-69.062937
Hostal Joshua,Hotel,-16.1698354,-69.0903693
Museo del Poncho,Museo,-16.1649205,-69.0901882
casa de felix,Hotel,-15.7288493,-69.7693575
Hostal Elida,Hotel,-16.1659584,-69.0847881
Hosteria Las Islas,Hotel,-16.0367324,-69.146926
Alojamiento Kotha Kahuaña,Hotel,-16.1661641,-69.0886201
Hostel Homecenter Puno,Hotel,-15.8396383,-70.027156
Museo de la Coca & Costumbres,Museo,-15.8418816,-70.0292561
Fundo Chincheros,Mirador,-15.78634,-70.0285075
Bus a La Paz,Mirador,-16.1654459,-69.0879248
Crucero alto,Mirador,-15.7190246,-70.816636
Ancla Blanca,Mirador,-16.1653409,-69.0905289
Natalio,Hotel,-15.7249508,-69.7852441
playa blanca,Mirador,-16.1320436,-69.0892856
Iguana hostel,Hotel,-15.837587,-70.0293895
Zepita,Hotel,-16.495589,-69.1033967
Bonny Hostel,Hotel,-15.8407821,-70.0259094
Utama,Hotel,-16.0359488,-69.1484884
Legui's,Hotel,-16.164611,-69.0856176
Oficina Tourismo,Mirador,-15.8947267,-69.8895468
"Mallki k'ari, Kalacampana",Mirador,-15.8954881,-69.8872878
Robyn,Hotel,-16.16797,-69.0883846
Hospedaje Santa Rosa,Hotel,-15.8371234,-70.0253312
Hospedaje Don Tito Inn,Hotel,-15.8370265,-70.025079
Puñuy Wasi Inn,Hotel,-15.8387719,-70.0261601
Hostal Vylena,Hotel,-15.8417377,-70.0278247
Hostel Tayka,Hotel,-15.8418454,-70.0277878
Gran Puno Inn,Hotel,-15.8369507,-70.0280224
Hotel Margarita,Hotel,-15.8369978,-70.0293027
Royal Inn Hotel,Hotel,-15.8412886,-70.028121
Hospedaje Titikaka Sumag Wasy,Hotel,-15.8384562,-70.0299631
Hotel Italia,Hotel,-15.8345366,-70.0302929
Hospedaje Rosal Inn,Hotel,-15.8469104,-70.0159374
Hospedaje Americas,Hotel,-15.8471193,-70.0157654
Hacienda Hotel Plaza de Armas,Hotel,-15.8408816,-70.0276772
Marlon's House Puno,Hotel,-15.8352263,-70.028926
Hostal Puerto Alegre,Hotel,-16.1671138,-69.0865676
Bothy hostel puno,Hotel,-15.8366669,-70.0301547
Hostal Elenita,Hotel,-16.1646489,-69.090572
Puerta del Sol,Hotel,-16.0370328,-69.1498298
Manco Capac,Mirador,-15.8408523,-70.0315259
Hospedaje El Chavito,Hotel,-14.6082271,-70.7892238
Hostal Rosa,Hotel,-14.6087603,-70.7868551
Mirador del Inca,Mirador,-16.1340461,-69.0883874
Hostal Virgen del Carmen,Hotel,-15.0398955,-70.3671199
Hospedaje La Arequipeña,Hotel,-15.0418651,-70.3664055
Hostal Angelica,Hotel,-15.0414044,-70.3678414
Hostal Samary Wasi,Hotel,-15.041093,-70.3655202
Hostal Casa Suite,Hotel,-15.4899336,-70.1356352
Hotel Mayas Inn,Hotel,-15.4901396,-70.135815
Hotel Maoba,Hotel,-15.4912585,-70.1349127
Hotel San Martin Inn,Hotel,-15.4947426,-70.1318322
Hotel San Roman,Hotel,-15.4912722,-70.1325604
Hospedaje Residencial Juliaca,Hotel,-15.4894245,-70.1340192
Hospedaje Santa Lucia,Hotel,-15.4920386,-70.1347011
Hotel Riveros,Hotel,-15.491137,-70.132686
Hostal Ameron,Hotel,-15.4947214,-70.1317266
Hostal Suma'Kusi,Hotel,-15.4899882,-70.1349357
Hostal Laguna Azul,Hotel,-15.4893577,-70.1351264
La Virgen de Urkupiña,Mirador,-16.1445677,-69.0762216
Hospedaje Sueños,Hotel,-15.844132,-70.0177821
Hospedaje Dulce Amanecer,Hotel,-15.8443524,-70.0176654
Hospedaje Collasuyo,Hotel,-16.0856454,-69.6391132
Hospedaje Condori,Hotel,-16.0864208,-69.6388716
Hospedaje Jerusalen,Hotel,-16.0856897,-69.6390304
Hospedaje Don Nico,Hotel,-16.0860297,-69.6391079
Hostal Bolognesi,Hotel,-16.085523,-69.6394238
Hostal Montoya,Hotel,-16.0845744,-69.6387697
Hostal Katy,Hotel,-16.0854013,-69.6390036
Hospedaje Fora Hermanos,Hotel,-16.0841864,-69.6375707
Hostal San Bartolomé,Hotel,-16.2137874,-69.4596459
Hospedaje Sumac Pacha Wasi - Taquile,Hotel,-15.765813,-69.6859213
Hotel Nesther,Hotel,-15.8403362,-70.0267049
Hostal Jallalla,Hotel,-16.0351813,-69.1511086
Lago Titicaca - Juli,Mirador,-16.202879,-69.4636388
Hostal Wara,Hotel,-16.1653397,-69.0896479
Hospedaje Geminis,Hotel,-14.6089167,-70.7872767
Hostal Solspicio,Hotel,-16.1685235,-69.0845845
hospedaje,Hotel,-15.2005869,-69.7652997
El Presidente,Hotel,-15.4864398,-70.1244914
Turín,Hotel,-15.4871229,-70.1428091
Ensueño,Hotel,-15.2043506,-69.7618197
Hostel del sol,Hotel,-16.0344166,-69.1511313
Inti Wasi Lodge,Hotel,-16.0361834,-69.1473373
Puno Hotel,Hotel,-15.8415338,-70.0221294
Pachataka,Mirador,-16.171429,-69.0848665
Cerro Pucara (Mirador Turístico de Sampaya),Mirador,-16.0869895,-69.0939679
Inti Wayra,Hotel,-16.0376903,-69.1474082
Hostal La Luna,Hotel,-16.1660288,-69.0840602
Francisco Bolognesi,Mirador,-15.4963124,-70.1314545
Monumento al Campesino,Mirador,-15.4954518,-70.13238
Tupac Amaru,Mirador,-15.4892656,-70.1255107
Boca del Sapo,Mirador,-16.1606115,-69.0937764
Ecolodge Puma Punku,Hotel,-16.0516492,-69.142088
Hostal Templo del Sol,Hotel,-16.0358995,-69.1505041
Hostal Wara Uta,Hotel,-16.0365747,-69.149461
Hostal Puerto Yumani,Hotel,-16.0397603,-69.1442631
Hostal Flores del Lago,Hotel,-16.163928,-69.0912767
Flor de mi Tierra,Hotel,-16.1728705,-69.0906599
Hostal Virgen de Las Nieves I y II,Hotel,-15.8381909,-70.0203451
Uros Amtawi Uta,Hotel,-15.8191307,-69.9691448
Uros Balsero,Hotel,-15.8194077,-69.9689336
Mamá,Mirador,-15.485587,-70.102023
Titiqaqa Lodge,Hotel,-15.8164285,-69.9720582
Montículo de piedras,Mirador,-16.0466477,-69.1466819
Hotel Hacienda Puno,Hotel,-15.8399496,-70.0269188
Hostel Arco Iris,Hotel,-16.1657804,-69.086614
Mirador Roof Top,Mirador,-15.0426442,-70.3690302
Hospedaje del municipio,Hotel,-16.273525,-69.2926524
Ecolodge camping hostel Queque norte,Mirador,-14.5808524,-70.8695102
Monumento Andino,Mirador,-15.4913729,-70.1441314
Hostal Inka Terra,Hotel,-16.0361388,-69.1502918
Yuraq Wasi,Hotel,-15.4907826,-70.1219862
Ayma Hostel Puno,Hotel,-15.8381767,-70.0283858
Hostel Mara,Hotel,-15.8409476,-70.0262354
Nak hoteles,Hotel,-15.8456623,-70.0238185
Quechuas Inka Palace,Hotel,-15.83477,-70.0290779
Hospedaje Munay Rosas,Hotel,-15.726776,-69.7641662
El Centro,Hotel,-15.4939696,-70.1320039
Tumi,Hotel,-15.4879378,-70.1230173
Casa de Papá Raúl,Hotel,-15.6717469,-69.7086148
Kusi,Hotel,-16.1673648,-69.0901188
Mireva,Hotel,-15.4879773,-70.1270207
Casa de Henry y Marilus,Hotel,-15.6621333,-69.7240773
Hospedaje Casa San Valentin,Hotel,-15.7250634,-69.7894661
Casa Luis,Hotel,-15.6615054,-69.7243447
Pukara house,Hotel,-15.8416173,-70.0266919
Kantaya Hostel,Hotel,-15.8375813,-70.0293396
El Toro,Mirador,-15.0431227,-70.3657997
Munay Tika Wasi (Rufino y Lucrecia),Hotel,-15.7275499,-69.7696744
Hotel Moho,Hotel,-15.3606674,-69.5002476
Los Angeles,Hotel,-15.4415103,-69.929385
University free camp,Mirador,-14.7903455,-70.7271008
5 Noviembre,Hotel,-15.5333982,-69.251263
Chuñuña restaurant Hospedaje,Hotel,-15.7585615,-69.0647927
Alojamiento,Hotel,-15.53339,-69.2511368
Hotel - Restaurant La Chununa,Hotel,-15.7586456,-69.0647441
En honor a los ciudadanos de totorani,Mirador,-15.8215494,-70.0514382
The Real House,Hotel,-15.8334693,-70.0278395
Pelagia y niños familia,Hotel,-15.7260337,-69.7829785
Hostal Luz Yhobimar,Hotel,-16.1663281,-69.0876753
Totoro Casa Hotel,Hotel,-16.1629389,-69.086533
corire,Mirador,-16.1855833,-70.533653
Samarina Wuasy,Hotel,-15.7250127,-69.7796684
Patapatani,Mirador,-16.0890862,-69.1228754
Teodocia Turpo Cahi,Hotel,-15.7252038,-69.7870421
Yavari,Museo,-15.8234284,-70.0054119
Cristo Blanco,Mirador,-15.5018271,-70.1393804
Hostal Bolivar,Hotel,-15.6946411,-70.6042237
Arco Wasi - Hospedaje,Hotel,-15.6658466,-69.7248505
Río Huaycho,Mirador,-15.6421997,-69.1575246
"Hospedaje de Kallawaya, Aurelio",Hotel,-15.1758792,-69.0222167
Portenita,Hotel,-16.1649659,-69.0862483
Mirador de Huancané,Mirador,-15.1980242,-69.7569942
kasa kultural sol y luna,Hotel,-16.1797106,-69.1039221
Hostal Luna Inn,Hotel,-14.8812017,-70.5910125
Hospedaje casa simion,Hotel,-15.7246221,-69.7895418
La casa de Pedro,Hotel,-15.7270537,-69.7787273
Casa de Delfin,Hotel,-15.7706359,-69.6808487
Ciudad Perdida,Mirador,-15.960163,-69.2185143
Casa Andina Standard,Hotel,-15.8362198,-70.0286756
General Camacho,Mirador,-15.533112,-69.2524764
Sol del Titicaca House,Hotel,-15.8398828,-70.0309429
Puno Agradable,Hotel,-15.8442917,-70.0275882
Amaru Marka Lodge,Mirador,-15.8089133,-69.9716508
Titikaka Adventure,Mirador,-15.8363911,-70.0178557
Camping libre,Mirador,-16.0380945,-69.1488452
Casa de Ruben y Veronica,Hotel,-15.6575645,-69.7196712
Punta de Vista,Mirador,-15.1417711,-69.044019
Chaska Wasi,Hotel,-15.6576704,-69.720019
Willka Punku (Puerta del Sol),Hotel,-16.0366964,-69.14996
Hostel Algas del Lago Titicaca,Hotel,-16.1677433,-69.0880295
All ways travel,Mirador,-15.8404858,-70.0287559
Hotel Orillas Del Titicaca,Hotel,-15.8410655,-70.0179997
Hospedaje La Costanera,Hotel,-15.8422787,-70.0178592
Casa Aymara,Hotel,-15.8467428,-70.0252217
Casa Inka Puno,Hotel,-15.8465838,-70.0256136
Cochawasi Inn,Hotel,-15.8484373,-70.0268345
Hospedaje Terminal,Hotel,-15.8443802,-70.0180984
Hospedaje Wasichay,Hotel,-15.8436717,-70.0178769
Hotel Ayllu Inn,Hotel,-15.8476106,-70.0205871
Brisas Hostal,Hotel,-15.840975,-70.0261398
Hostal Isla del Sol,Hotel,-16.0376863,-69.1463777
Cecilia - Santa Rosa,Mirador,-15.6594389,-69.7186992
Coya,Mirador,-15.8245854,-70.0022543
Inca hostel,Hotel,-15.5251303,-70.1195831
Garden In Hostal,Hotel,-16.1662147,-69.0864817
Pucaras Archeological Site,Mirador,-16.0613169,-69.1265784
Ururi Stat Puno,Hotel,-15.8383749,-70.0281763
Yordy private tour,Mirador,-15.8165969,-69.9910409
Casa de Oliver y Sebastiana,Hotel,-15.7277313,-69.7785152
Casa Salacancha,Hotel,-15.76477,-69.6814577
Hospedaje El Viajero,Hotel,-15.8453022,-70.0182585
Hostal Samary,Hotel,-14.8810172,-70.5912273
Hotel Lumonsa,Hotel,-14.881177,-70.5904719
Hostal San Francisco,Hotel,-15.4824332,-70.1369444
Hospedaje Lampayuni,Hotel,-15.6539731,-69.7157733
Hospedaje Cielo Andino,Hotel,-15.8394342,-70.0275395
Casa Magno,Hotel,-15.7247439,-69.7914541
Hospedaje municipal,Hotel,-16.4955827,-69.1032403
Perú Lodge,Hotel,-15.8382051,-70.0257349
Hospedaje Umajalsu,Hotel,-15.8955646,-69.8895034
Calvario,Mirador,-16.1616217,-69.0913513
Casa de Alejandra y Gregorio,Hotel,-15.724497,-69.786582
Ecohostel Inka Pacha,Hotel,-16.0373256,-69.1469013
Manco Kapac,Hotel,-16.1638915,-69.0871193
"Hostal ""Vista a Titicaca""",Hotel,-16.1636155,-69.0893795
Javier,Mirador,-15.5258563,-70.1140811
vista al lago,Hotel,-15.8372274,-70.0197068
Kely,Hotel,-15.4782805,-70.1190369
Hostal Salome,Hotel,-16.1653129,-69.0831842
I Estación,Mirador,-16.1622339,-69.087641
I Dolor,Mirador,-16.1616683,-69.0906938
II Dolor,Mirador,-16.1616683,-69.0907511
III Dolor,Mirador,-16.1616683,-69.0908028
IV Dolor,Mirador,-16.1616666,-69.0908527
V Dolor,Mirador,-16.1616683,-69.090897
VI Dolor,Mirador,-16.1616666,-69.0909414
VII Dolor,Mirador,-16.161663,-69.090982
Virgen,Mirador,-16.1616524,-69.091091
II Estación,Mirador,-16.1622463,-69.0878368
III Estación,Mirador,-16.1619734,-69.0881771
IV Estación,Mirador,-16.1618684,-69.0885278
Sagrado Corazón de Jesús,Mirador,-16.1607837,-69.0891935
Musqooi Wasi Lodge,Hotel,-15.6577546,-69.7211475
Casa de Theodosa y Alejandra,Hotel,-15.7243849,-69.7870436
Hostal Luis,Hotel,-16.1684848,-69.0877585
Hostal Luis ubicación incorrecta - wrong place,Hotel,-16.165727,-69.0862243
Embarcadero de Pilcu,Mirador,-16.0485979,-69.1436615
Qocha Machu - Qocha Paya,Mirador,-15.7443531,-70.0549118
Tía Boni,Mirador,-15.4792492,-70.1054428
Yanacancha,Mirador,-15.890341,-70.1954445
Rocas Viejas,Mirador,-15.8539533,-69.9733764
Micky Punuy,Hotel,-14.771538,-70.9032651
Parque Cumonal Cocosani,Mirador,-15.9711383,-69.6577783
Puno Victoria Suites,Hotel,-15.8454738,-70.0225442
Puma Hostel Puno,Hotel,-15.8406683,-70.0255667
Qelqatani,Hotel,-15.8387502,-70.0288685
Hospedaje Mi Segundo Hogar Inn,Hotel,-15.8468436,-70.0160131
Gildo,Hotel,-15.8208631,-70.0264475
Hospedaje Santa Maria,Hotel,-14.6088619,-70.7874408
Hostal Cayme,Hotel,-14.6088988,-70.7866348
Uros Suma Jakana Lodge,Hotel,-15.8270335,-69.9697225
Putina,Mirador,-14.9155581,-69.8640637
Plaza Mayor Hotel,Hotel,-15.8399887,-70.0274415
Playa Del Inca,Hotel,-16.0121688,-69.1726092
View Of The Bay,Hotel,-15.999918,-69.1826869
Illampo,Hotel,-16.0361089,-69.1477544
Hostal Phaxsi,Hotel,-16.0396952,-69.1444581
Jardin del Inca,Hotel,-16.0393718,-69.1457771
Mirador El Inca,Hotel,-16.0395761,-69.1450289
Casa de Rubén,Hotel,-15.7273836,-69.7681261
Uros Maya Lodge,Hotel,-15.8256879,-69.9702515
Santo campo ecolodge,Hotel,-16.0426787,-69.1448893
Paraíso del Lago,Hotel,-16.1661429,-69.0887938
San Antonio de Abad,Hotel,-15.4884755,-70.1255056
Hospedaje Alba,Hotel,-15.4842705,-70.1378336
Museo de Cerámica,Museo,-15.0427285,-70.3694207
Sumaq Hillary Casa de Antonia y Luis,Hotel,-15.7273954,-69.7679614
Hotel Valparaíso,Hotel,-16.2476353,-69.0966412
Hostal Amazonas,Hotel,-16.2448352,-69.093347
Utasa Inn,Hotel,-15.8366709,-70.0296928
Casa de Rosa & Julian,Hotel,-15.6608047,-69.724397
Arco Deustua,Mirador,-15.8345758,-70.0289894
Titicaca Experiences,Mirador,-15.8446985,-70.0272511
Hostal Viza,Hotel,-14.9069771,-70.1953837
Hostal Las Gemelas,Hotel,-14.9071185,-70.1956364
Hotel Princess Jairito,Hotel,-14.9073129,-70.195741
Hostal Daynerys,Hotel,-14.9074458,-70.1959663
Hotel San Francisco,Hotel,-14.8809951,-70.5893014
Isla Suasi Hotel,Hotel,-15.451983,-69.4736148
Ccollpa Wasy,Hotel,-15.7212456,-69.7945037
Ecolodge Descanso,Hotel,-16.0424902,-69.1448917
La Capilla,Hotel,-14.8857413,-70.5925206
Centro cultural San Juan Pablo II,Museo,-14.8841533,-70.5909308
Hotel Inka Valley,Hotel,-15.9833921,-70.5038607
Olimpo Inn,Hotel,-15.8465352,-70.0225144
Casa de Libia,Hotel,-15.6546937,-69.7172581
Koala hostel,Hotel,-15.83753,-70.0292944
Mirador La Serpiente,Mirador,-16.227808,-69.0907825
Mada Guest House,Hotel,-15.8465576,-70.0224263
hostal and una joya,Hotel,-15.8397277,-70.0220402
Hotel Imperial,Hotel,-15.4960232,-70.1339045
Taquile,Hotel,-15.7771665,-69.6824159
Hotel Gloria,Hotel,-16.1669792,-69.0887816
Hotel Ambar,Hotel,-16.1689269,-69.0888003
Mirador de Ventilla,Mirador,-15.8466945,-70.0459501
Titikaka Iquiña Lodge,Hotel,-15.8046387,-69.9708641
Las Huellas del Sol,Sitio Arqueológico,-15.9907707,-69.1991797
Acampamento (No Oficial),Mirador,-14.9317482,-69.0332219
Kuntur Inn,Hotel,-15.8435837,-70.0275491
MIrador Pomata,Mirador,-16.2551169,-69.3020497
Nandos,Hotel,-15.4893732,-70.119438
Hostal Estrella Del Lago,Hotel,-16.1641223,-69.0903352
Hostal Roma,Hotel,-16.2135642,-69.4567372
Minibus a La Paz,Mirador,-16.1654982,-69.0878708
AlojamientoSan José,Hotel,-16.1645228,-69.0878667
Hostal Virgen de Chapi,Hotel,-15.8386218,-70.0177767
Frontera Peru Bolivia (Solo Referencia),Mirador,-14.8094229,-69.3543224
Hospedaje Cochera,Hotel,-15.6420634,-70.3493577
Hospedaje El Tropezon,Hotel,-15.3633207,-70.3656264
Hospedaje Cabanillas,Hotel,-15.6440272,-70.3509799
Hospedaje Cabanilla,Hotel,-15.6202975,-70.3479165
Casa Romero Lampa,Hotel,-15.3650868,-70.3655903
Hotel Wasi Andenes,Hotel,-15.3679112,-70.3644014
Hostal,Hotel,-15.6199271,-70.3461547
Réplica de la Piedad de Miguel Ángel,Mirador,-15.3645842,-70.3678648
Catacumbas,Mirador,-15.365068,-70.3666122
Hotel Fe en Cristo,Hotel,-15.3656155,-70.3657993
Museo y Biblioteca Municipal,Museo,-15.3645868,-70.3677961
Museo Parroquial,Museo,-15.3645611,-70.3670796
